Question,Category,Codebase,Level,Number of Participant Sub-Questions,Root Questions,Root Categories,FFP Children,EFP Children,US Children,QGS Children,Tool Usage [%],Tool Usage,Duration,Dynamic Tool Usage [seconds],Static Tool Usage [seconds],Start [seconds],Start [%],Session Duration [seconds]
e8,US,Unfamiliar,1,0,,,0,0,0,0,1,D,44,44,0,75,0.0264457,2836
17,EFP,Unfamiliar,1,0,,,0,0,0,0,0.0819672,S,61,4.9999992,56.0000008,119,0.0419605,2836
3,FFP,Unfamiliar,1,3,,,0,3,0,0,0,S,96,0,96,180,0.0634697,2836
17,EFP,Unfamiliar,2,1,3,FFP,0,1,0,0,0,S,63,0,63,184,0.0648801,2836
15,EFP,Unfamiliar,3,0,3,FFP,0,0,0,0,0,S,23,0,23,224,0.0789845,2836
12,EFP,Unfamiliar,2,0,3,FFP,0,0,0,0,0,S,9,0,9,247,0.0870945,2836
3,FFP,Unfamiliar,1,29,,,1,19,5,4,0.2001944,s,1029,206.0000376,822.9999624,288,0.1015515,2836
17,EFP,Unfamiliar,2,0,3,FFP,0,0,0,0,0,S,24,0,24,288,0.1015515,2836
11,EFP,Unfamiliar,2,0,3,FFP,0,0,0,0,0,S,2,0,2,312,0.1100141,2836
6,EFP,Unfamiliar,2,0,3,FFP,0,0,0,0,0,S,32,0,32,328,0.1156559,2836
17,EFP,Unfamiliar,2,0,3,FFP,0,0,0,0,0,S,9,0,9,360,0.1269394,2836
6,EFP,Unfamiliar,2,0,3,FFP,0,0,0,0,0,S,7,0,7,369,0.1301128,2836
6,EFP,Unfamiliar,2,0,3,FFP,0,0,0,0,0,S,4,0,4,376,0.1325811,2836
17,EFP,Unfamiliar,2,0,3,FFP,0,0,0,0,0,S,52,0,52,380,0.1339915,2836
22,US,Unfamiliar,2,1,3,FFP,0,1,0,0,0.0064516,S,155,0.999998,154.000002,432,0.1523272,2836
6,EFP,Unfamiliar,3,0,3,FFP,0,0,0,0,0.0151515,S,66,0.999999,65.000001,521,0.1837094,2836
44,QGS,Unfamiliar,2,0,3,FFP,0,0,0,0,1,D,7,7,0,631,0.2224965,2836
34,QGS,Unfamiliar,2,0,3,FFP,0,0,0,0,1,D,24,24,0,638,0.2249647,2836
17,EFP,Unfamiliar,2,4,3,FFP,1,2,0,1,0.368932,s,206,75.999992,130.000008,662,0.2334274,2836
38,QGS,Unfamiliar,3,3,3,FFP,1,2,0,0,0.2261905,s,168,38.000004,129.999996,700,0.2468265,2836
8,EFP,Unfamiliar,4,0,3,FFP,0,0,0,0,0,S,8,0,8,774,0.2729196,2836
17,EFP,Unfamiliar,4,0,3,FFP,0,0,0,0,0,S,71,0,71,782,0.2757405,2836
3,FFP,Unfamiliar,4,0,3,FFP,0,0,0,0,0,S,15,0,15,853,0.3007757,2836
38,QGS,Unfamiliar,2,0,3,FFP,0,0,0,0,0,S,81,0,81,868,0.3060649,2836
12,EFP,Unfamiliar,2,0,3,FFP,0,0,0,0,0,S,15,0,15,949,0.3346262,2836
17,EFP,Unfamiliar,2,0,3,FFP,0,0,0,0,0,S,37,0,37,964,0.3399154,2836
23,US,Unfamiliar,2,0,3,FFP,0,0,0,0,0.4,s/d,30,12,18,1055,0.3720028,2836
23,US,Unfamiliar,2,0,3,FFP,0,0,0,0,0.55,s/d,20,11,9,1085,0.3825811,2836
25,US,Unfamiliar,2,7,3,FFP,0,6,1,0,0.2767857,s,112,30.9999984,81.0000016,1125,0.3966855,2836
27,US,Unfamiliar,3,0,3,FFP,0,0,0,0,1,D,2,2,0,1162,0.4097320,2836
e5,EFP,Unfamiliar,3,0,3,FFP,0,0,0,0,1,D,5,5,0,1164,0.4104372,2836
6,EFP,Unfamiliar,3,4,3,FFP,0,4,0,0,0.1176471,S,68,8.0000028,59.9999972,1169,0.4122003,2836
e5,EFP,Unfamiliar,4,0,3,FFP,0,0,0,0,0.5,s/d,16,8,8,1169,0.4122003,2836
17,EFP,Unfamiliar,4,0,3,FFP,0,0,0,0,0,S,15,0,15,1185,0.4178420,2836
7,EFP,Unfamiliar,4,0,3,FFP,0,0,0,0,0,S,10,0,10,1200,0.4231312,2836
17,EFP,Unfamiliar,4,0,3,FFP,0,0,0,0,0,S,27,0,27,1210,0.4266573,2836
42,QGS,Unfamiliar,1,0,,,0,0,0,0,0.7727273,d,22,17.0000006,4.9999994,1317,0.4643865,2836
25,US,Unfamiliar,1,12,,,0,3,7,2,0.4397032,s/d,539,237.0000248,301.9999752,1339,0.4721439,2836
17,EFP,Unfamiliar,2,0,25,US,0,0,0,0,0.0625,S,16,1,15,1339,0.4721439,2836
27,US,Unfamiliar,2,0,25,US,0,0,0,0,1,D,19,19,0,1355,0.4777856,2836
29,US,Unfamiliar,2,0,25,US,0,0,0,0,0.8,D,30,24,6,1374,0.4844852,2836
27,US,Unfamiliar,2,0,25,US,0,0,0,0,1,D,20,20,0,1404,0.4950635,2836
17,EFP,Unfamiliar,2,0,25,US,0,0,0,0,0.4038462,s/d,52,21.0000024,30.9999976,1441,0.5081100,2836
25,US,Unfamiliar,2,0,25,US,0,0,0,0,0.0185185,S,54,0.999999,53.000001,1507,0.5313822,2836
23,US,Unfamiliar,2,0,25,US,0,0,0,0,0.9444444,D,36,33.9999984,2.0000016,1561,0.5504231,2836
44,QGS,Unfamiliar,2,0,25,US,0,0,0,0,1,D,20,20,0,1661,0.5856841,2836
25,US,Unfamiliar,2,0,25,US,0,0,0,0,0.1774194,S,62,11.0000028,50.9999972,1681,0.5927362,2836
44,QGS,Unfamiliar,2,0,25,US,0,0,0,0,0.7272727,d,33,23.9999991,9.0000009,1743,0.6145980,2836
25,US,Unfamiliar,2,0,25,US,0,0,0,0,0.4736842,s/d,38,17.9999996,20.0000004,1776,0.6262341,2836
17,EFP,Unfamiliar,2,0,25,US,0,0,0,0,0.4736842,s/d,38,17.9999996,20.0000004,1776,0.6262341,2836
28,US,Unfamiliar,1,5,,,3,2,0,0,0.1857708,S,253,47.0000124,205.9999876,1878,0.6622003,2836
3,FFP,Unfamiliar,2,4,28,US,2,2,0,0,0,S,125,0,125,2006,0.7073343,2836
e4,EFP,Unfamiliar,3,0,28,US,0,0,0,0,0,S,28,0,28,2006,0.7073343,2836
15,EFP,Unfamiliar,3,2,28,US,2,0,0,0,0,S,97,0,97,2034,0.7172073,2836
3,FFP,Unfamiliar,4,0,28,US,0,0,0,0,0,S,75,0,75,2034,0.7172073,2836
3,FFP,Unfamiliar,4,0,28,US,0,0,0,0,0,S,22,0,22,2109,0.7436530,2836
28,US,Unfamiliar,1,5,,,0,3,1,1,0.3659574,s,705,257.999967,447.000033,2131,0.7514104,2836
34,QGS,Unfamiliar,2,0,28,US,0,0,0,0,0.3207547,s,53,16.9999991,36.0000009,2168,0.7644570,2836
e4,EFP,Unfamiliar,2,0,28,US,0,0,0,0,0.0857143,S,35,3.0000005,31.9999995,2221,0.7831453,2836
e5,EFP,Unfamiliar,2,0,28,US,0,0,0,0,0.5744681,s/d,47,27.0000007,19.9999993,2256,0.7954866,2836
14,EFP,Unfamiliar,2,0,28,US,0,0,0,0,1,D,19,19,0,2394,0.8441467,2836
28,US,Unfamiliar,2,0,28,US,0,0,0,0,1,D,33,33,0,2476,0.8730606,2836
e6,QGS,Familiar,1,0,,,0,0,0,0,0,S,25,0,25,150,0.0574273,2612
e6,QGS,Familiar,1,1,,,0,1,0,0,0,S,21,0,21,270,0.1033691,2612
12,EFP,Familiar,2,0,e6,QGS,0,0,0,0,0,S,11,0,11,270,0.1033691,2612
e7,QGS,Familiar,1,0,,,0,0,0,0,1,D,10,10,0,315,0.1205972,2612
27,US,Familiar,1,0,,,0,0,0,0,1,D,5,5,0,325,0.1244257,2612
e7,QGS,Familiar,1,0,,,0,0,0,0,1,D,4,4,0,373,0.1428025,2612
17,EFP,Familiar,1,0,,,0,0,0,0,0,S,7,0,7,390,0.1493109,2612
10,EFP,Familiar,1,0,,,0,0,0,0,0,S,3,0,3,397,0.1519908,2612
10,EFP,Familiar,1,0,,,0,0,0,0,0,S,8,0,8,400,0.1531394,2612
17,EFP,Familiar,1,0,,,0,0,0,0,0,S,14,0,14,408,0.1562021,2612
e2,EFP,Familiar,1,0,,,0,0,0,0,0,S,4,0,4,430,0.1646248,2612
17,EFP,Familiar,1,0,,,0,0,0,0,0,S,2,0,2,465,0.1780245,2612
e2,EFP,Familiar,1,0,,,0,0,0,0,0,S,2,0,2,475,0.1818530,2612
17,EFP,Familiar,1,0,,,0,0,0,0,0,S,2,0,2,545,0.2086524,2612
e2,EFP,Familiar,1,0,,,0,0,0,0,0,S,8,0,8,567,0.2170750,2612
17,EFP,Familiar,1,0,,,0,0,0,0,0,S,4,0,4,580,0.2220521,2612
e2,EFP,Familiar,1,0,,,0,0,0,0,0,S,31,0,31,584,0.2235835,2612
17,EFP,Familiar,1,0,,,0,0,0,0,0,S,7,0,7,627,0.2400459,2612
e7,QGS,Familiar,1,0,,,0,0,0,0,1,D,6,6,0,646,0.2473201,2612
e8,US,Familiar,1,0,,,0,0,0,0,1,D,7,7,0,652,0.2496172,2612
e7,QGS,Familiar,1,0,,,0,0,0,0,1,D,3,3,0,667,0.2553599,2612
e7,QGS,Familiar,1,0,,,0,0,0,0,1,D,15,15,0,675,0.2584227,2612
e7,QGS,Familiar,1,0,,,0,0,0,0,1,D,10,10,0,695,0.2660796,2612
17,EFP,Familiar,1,0,,,0,0,0,0,1,D,5,5,0,710,0.2718224,2612
17,EFP,Familiar,1,0,,,0,0,0,0,0.4,s/d,5,2,3,725,0.2775651,2612
e7,QGS,Familiar,1,0,,,0,0,0,0,1,D,5,5,0,750,0.2871363,2612
e8,US,Familiar,1,0,,,0,0,0,0,0.5263158,s/d,19,10.0000002,8.9999998,764,0.2924962,2612
17,EFP,Familiar,1,0,,,0,0,0,0,0,S,15,0,15,783,0.2997703,2612
e7,QGS,Familiar,1,0,,,0,0,0,0,1,D,2,2,0,800,0.3062787,2612
e8,US,Familiar,1,0,,,0,0,0,0,1,D,6,6,0,803,0.3074273,2612
e7,QGS,Familiar,1,0,,,0,0,0,0,1,D,6,6,0,809,0.3097243,2612
e7,QGS,Familiar,1,2,,,0,1,1,0,1,D,42,42,0,816,0.3124043,2612
27,US,Familiar,2,0,e7,QGS,0,0,0,0,1,D,3,3,0,855,0.3273354,2612
12,EFP,Familiar,2,0,e7,QGS,0,0,0,0,0,S,4,0,4,860,0.3292496,2612
e7,QGS,Familiar,1,0,,,0,0,0,0,1,D,6,6,0,873,0.3342266,2612
e8,US,Familiar,1,13,,,0,4,5,4,0.6964286,d,280,195.000008,84.999992,881,0.3372894,2612
27,US,Familiar,2,0,e8,US,0,0,0,0,0,S,3,0,3,860,0.3292496,2612
e8,US,Familiar,2,0,e8,US,0,0,0,0,1,D,4,4,0,930,0.3560490,2612
41,QGS,Familiar,2,0,e8,US,0,0,0,0,1,D,4,4,0,938,0.3591118,2612
17,EFP,Familiar,2,0,e8,US,0,0,0,0,1,D,3,3,0,962,0.3683002,2612
27,US,Familiar,2,0,e8,US,0,0,0,0,1,D,4,4,0,970,0.3713629,2612
e8,US,Familiar,2,0,e8,US,0,0,0,0,1,D,3,3,0,1035,0.3962481,2612
35,QGS,Familiar,2,0,e8,US,0,0,0,0,0,S,3,0,3,1054,0.4035222,2612
17,EFP,Familiar,2,0,e8,US,0,0,0,0,0,S,3,0,3,1070,0.4096478,2612
6,EFP,Familiar,2,0,e8,US,0,0,0,0,0,S,3,0,3,1104,0.4226646,2612
17,EFP,Familiar,2,0,e8,US,0,0,0,0,0,S,5,0,5,1110,0.4249617,2612
e7,QGS,Familiar,2,0,e8,US,0,0,0,0,1,D,3,3,0,1128,0.4318530,2612
e8,US,Familiar,2,0,e8,US,0,0,0,0,1,D,5,5,0,1131,0.4330015,2612
35,QGS,Familiar,2,0,e8,US,0,0,0,0,0,S,3,0,3,1150,0.4402757,2612
e7,QGS,Familiar,1,0,,,0,0,0,0,1,D,6,6,0,1154,0.4418070,2612
32,US,Familiar,1,0,,,0,0,0,0,1,D,3,3,0,1160,0.4441041,2612
e8,US,Familiar,1,0,,,0,0,0,0,1,D,10,10,0,1162,0.4448698,2612
e7,QGS,Familiar,1,0,,,0,0,0,0,1,D,3,3,0,1180,0.4517611,2612
e7,QGS,Familiar,1,0,,,0,0,0,0,1,D,5,5,0,1218,0.4663093,2612
38,QGS,Familiar,1,0,,,0,0,0,0,0,S,35,0,35,1230,0.4709035,2612
