"Timestamp","How much Smalltalk experience do you have?","Where did you gain your Smalltalk experience?","How often do you develop software?","What Smalltalk dialect do you use primarily?","You mainly work ...","I access and/or inspect objects ... [Select:]","I modify variables in inspector windows ... [Select:]","I evaluate code snippets and/or run methods in inspector windows ... [Select:]","I keep inspector windows open for long periods of time. [Select:]","It is easy to access objects. [Confirm:]","Smalltalk offers many ways to access or inspect objects. [Confirm:]","Accessing objects helps me to understand how programs work. [Confirm:]","Accessing objects helps me to get immediate information about objects and/or program states. [Confirm:]","I debug programs ... [Select:]","I modify variables in debugger windows ... [Select:]","I evaluate code snippets and/or run methods in debugger windows ... [Select:]","Debugging programs helps me to understand how the programs work. [Confirm:]","Debugging programs helps me to get immediate information about program behaviors and/or states. [Confirm:]","I modify source code of running programs ... [Select:]","Modifying running programs helps me to understand how programs work. [Confirm:]","When I change the source code of a running program, I expect to see the effect of my changes immediately or very soon after. [Confirm:]","I write code snippets ... [Select:]","Writing code snippets helps me to identify what is the cause of a bug. [Confirm:]","Writing code snippets helps me to learn new libraries and/or programs. [Confirm:]","Writing code snippets helps me to identify how I should structure my source code. [Confirm:]","Writing code snippets helps me to get immediate information about program behaviors and/or states. [Confirm:]","I search for source code examples ... [in example classes and/or methods]","I search for source code examples ... [in class and/or method comments]","I search for source code examples ... [in help and/or example browsers]","I search for source code examples ... [in test cases]","I search for source code examples ... [in general source code]","I search for source code examples ... [on Internet and/or books]","Relevant source code examples are easy to find. [Confirm:]","Source code examples are easy to execute. [Confirm:]","Source code examples are easy to modify. [Confirm:]","Source code examples helps me to learn new libraries and/or programs. [Confirm:]","How often do you ask for examples, program usages, and/or issue solutions ... [to colleagues in person?]","How often do you ask for examples, program usages, and/or issue solutions ... [in chats and/or mailing lists?]","What do you use (attach) when discussing programming issues electronically? [screenshots]","What do you use (attach) when discussing programming issues electronically? [code snippets]","What do you use (attach) when discussing programming issues electronically? [source code]","What do you use (attach) when discussing programming issues electronically? [links to source code]","What do you use (attach) when discussing programming issues electronically? [patches or bug fixes]","What do you use (attach) when discussing programming issues electronically? [stack traces in text forms]","What do you use (attach) when discussing programming issues electronically? [serialized objects and/or programs]","What do you use (attach) when discussing programming issues electronically? [serialized stack traces]","It is easier to read a source code, rather than write a test case for it. [Familiar code]","It is easier to read a source code, rather than write a test case for it. [Unfamiliar code]","It is easier to read a source code, rather than write a code snippet to run it. [Familiar code]","It is easier to read a source code, rather than write a code snippet to run it. [Unfamiliar code]","It is easier to understand a source code by reading it, rather than by running its examples. [Familiar code]","It is easier to understand a source code by reading it, rather than by running its examples. [Unfamiliar code]","It is easier to find out a bug in a program by reading its source code, rather than by running the program. [Familiar code]","It is easier to find out a bug in a program by reading its source code, rather than by running the program. [Unfamiliar code]","I prefer to learn a source code by running examples, rather than learning it by reading its source code. [Familiar code]","I prefer to learn a source code by running examples, rather than learning it by reading its source code. [Unfamiliar code]","I prefer to check my source code changes as often as possible, rather than after I finish a task. [Familiar code]","I prefer to check my source code changes as often as possible, rather than after I finish a task. [Unfamiliar code]","Live programming in Smalltalk","Electronic communication in Smalltalk"
"2017/08/02 11:16:12 AM GMT-3","more than 10 years","In both (academia and industry)","Daily","Pharo","remotely, my co-workers are in other buildings and/or cities","Very often","Occasionally/ Sometimes","Very often","Regularly","Agree","Agree","Agree","Agree","Often","Occasionally/ Sometimes","Often","Agree","Agree","Regularly","Agree","Agree","Very often","Disagree","Agree","Agree","Agree","Very often","Rarely","Often","Regularly","Regularly","Rarely","Somewhat agree","Somewhat agree","Agree","Agree","Occasionally/ Sometimes","Often","I do, but exchanging it is complex","I do easily","I do easily","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","I do, but exchanging it is complex","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","Disagree","Somewhat disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Neutral","",""
"2017/08/03 4:39:02 AM GMT-3","more than 10 years","Primarily in industry","Daily","Pharo;Squeak;VisualWorks","in a shared office","Very often","Rarely","Regularly","Occasionally/ Sometimes","Agree","Agree","Agree","Agree","Regularly","Occasionally/ Sometimes","Occasionally/ Sometimes","Agree","Agree","Regularly","Agree","Agree","Very often","Neutral","Agree","Disagree","Somewhat agree","Very often","Often","Rarely","Regularly","Very often","Occasionally/ Sometimes","Agree","Agree","Agree","Somewhat agree","Occasionally/ Sometimes","Rarely","I do easily","I do easily","I do easily","I do easily","I do easily","I do easily","I do, but exchanging it is (too) difficult","I do, but exchanging it is (too) difficult","Agree","Somewhat agree","Somewhat disagree","Disagree","Neutral","Neutral","Somewhat disagree","Somewhat disagree","Neutral","Neutral","Somewhat agree","Neutral","",""
"2017/08/03 4:46:47 AM GMT-3","2 years or less","Primarily in academia (student, profesor)","Daily","Squeak","in a shared office","Very often","Regularly","Very often","Often","Agree","Agree","Agree","Agree","Often","Rarely","Very often","Agree","Agree","Regularly","Agree","Agree","Very often","Agree","Agree","Somewhat agree","Somewhat agree","Rarely","Occasionally/ Sometimes","Occasionally/ Sometimes","Occasionally/ Sometimes","Very often","Rarely","Somewhat agree","Agree","Agree","Agree","Regularly","Occasionally/ Sometimes","I do easily","I do easily","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","I do not know","I do not know","I do not know","I do not know","I do not know","I do not know","Disagree","Disagree","Agree","Agree","Disagree","Neutral","",""
"2017/08/03 4:46:56 AM GMT-3","more than 10 years","Primarily in academia (student, profesor)","Weekly","Pharo","in a single person office","Very often","Regularly","Very often","Occasionally/ Sometimes","Agree","Agree","Agree","Somewhat agree","Often","Often","Often","Agree","Agree","Occasionally/ Sometimes","Somewhat agree","Agree","Regularly","Somewhat agree","Somewhat agree","Neutral","Somewhat agree","Often","Often","Occasionally/ Sometimes","Very often","Occasionally/ Sometimes","Rarely","Neutral","Neutral","Somewhat agree","Somewhat agree","Rarely","Occasionally/ Sometimes","I do not, because exchanging it is too complex","I do, but exchanging it is (too) difficult","I do not want or need","I do not, because exchanging it is too complex","I do not want or need","I do, but exchanging it is (too) difficult","I do not want or need","I do not, because exchanging it is too complex","Neutral","Disagree","Neutral","Somewhat agree","Neutral","Disagree","Somewhat disagree","Disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","",""
"2017/08/03 4:50:48 AM GMT-3","2 years or less","Primarily in academia (student, profesor)","Daily","Pharo","in a shared office","Very often","Regularly","Often","Rarely","Somewhat agree","Neutral","Agree","Neutral","Very often","Occasionally/ Sometimes","Very often","Somewhat agree","Somewhat agree","Rarely","Neutral","Agree","Often","","Agree","Disagree","Somewhat disagree","Often","Occasionally/ Sometimes","Rarely","Rarely","Regularly","Occasionally/ Sometimes","Somewhat disagree","Agree","Somewhat agree","Somewhat agree","Regularly","Occasionally/ Sometimes","I do not want or need","I do easily","I do not, because exchanging it is too complex","I do, but exchanging it is (too) difficult","I do easily","I do easily","I do not, because exchanging it is too complex","I do, but exchanging it is (too) difficult","Agree","Neutral","Agree","Somewhat disagree","Somewhat agree","Somewhat agree","Agree","Somewhat disagree","Neutral","Somewhat agree","Agree","Agree","",""
"2017/08/03 4:51:10 AM GMT-3","more than 10 years","Primarily in academia (student, profesor)","Weekly","Squeak;VisualWorks","alone, without co-workers","Very often","Often","Very often","Regularly","Agree","Agree","Agree","Agree","Very often","Regularly","Rarely","Agree","Agree","Very often","Agree","Agree","Very often","Somewhat agree","Somewhat agree","Somewhat agree","Agree","Very often","Very often","Occasionally/ Sometimes","Occasionally/ Sometimes","Rarely","Rarely","Somewhat agree","Agree","Neutral","Agree","Rarely","Occasionally/ Sometimes","I do not want or need","I do easily","I do easily","I do not know","I would like, but I am not authorized to do this","I do easily","I do not know","I do not know","Agree","I do not know","Neutral","Somewhat agree","Somewhat agree","Neutral","Disagree","Disagree","Somewhat agree","Agree","I do not know","I do not know","",""
"2017/08/03 4:57:48 AM GMT-3","3 to 5 years","Primarily in academia (student, profesor)","Daily","Pharo","alone, without co-workers","Very often","Rarely","Very often","Occasionally/ Sometimes","Agree","Agree","Somewhat agree","Agree","Regularly","Rarely","Occasionally/ Sometimes","Somewhat agree","Somewhat agree","Regularly","Somewhat disagree","Agree","Very often","Neutral","Agree","Neutral","Somewhat agree","Often","Rarely","Regularly","Rarely","Rarely","Occasionally/ Sometimes","Neutral","Agree","Somewhat agree","Agree","Not applicable","Occasionally/ Sometimes","I do easily","I do easily","I do not want or need","I do easily","I do, but exchanging it is (too) difficult","I do not know","I do not want or need","I do not want or need","Neutral","Somewhat agree","Neutral","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Agree","Neutral","Neutral","",""
"2017/08/03 4:58:28 AM GMT-3","6 to 10 years","Primarily in industry","Daily","Pharo","remotely, my co-workers are in other buildings and/or cities","Very often","Regularly","Very often","Regularly","Agree","Agree","Somewhat agree","Agree","Very often","Often","Very often","Agree","Agree","Very often","Agree","Somewhat agree","Very often","Neutral","Somewhat agree","Somewhat disagree","Agree","Regularly","Regularly","Regularly","Often","Regularly","Regularly","Somewhat agree","Neutral","Agree","Agree","Occasionally/ Sometimes","Regularly","I do easily","I do easily","I do easily","I do easily","I do easily","I do easily","I do easily","I do easily","Neutral","Neutral","Neutral","Neutral","Somewhat disagree","Somewhat disagree","Somewhat disagree","Disagree","Neutral","Neutral","Somewhat agree","Somewhat agree","Good. Always can be better.",""
"2017/08/03 5:09:01 AM GMT-3","more than 10 years","In both (academia and industry)","Daily","Squeak","in a single person office","Very often","Very often","Very often","Regularly","Agree","Somewhat agree","Agree","Agree","Very often","Very often","Often","Agree","Agree","Often","Agree","Agree","Regularly","Agree","Agree","Neutral","Agree","Regularly","Regularly","Occasionally/ Sometimes","Occasionally/ Sometimes","Occasionally/ Sometimes","Rarely","Neutral","Neutral","Agree","Agree","Regularly","Occasionally/ Sometimes","I do easily","I do easily","I do easily","I do not, because exchanging it is too complex","I do easily","I do easily","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","Agree","Agree","Agree","Agree","Somewhat agree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","",""
"2017/08/03 5:09:21 AM GMT-3","2 years or less","In both (academia and industry)","Weekly","Pharo","in a shared office","Regularly","I do not know","Rarely","Occasionally/ Sometimes","Agree","Agree","Agree","Agree","Often","Rarely","Rarely","Somewhat agree","Agree","Regularly","Neutral","Agree","Regularly","Agree","Agree","Agree","Agree","Rarely","Occasionally/ Sometimes","Rarely","Occasionally/ Sometimes","Regularly","Rarely","Neutral","Neutral","I do not know","Agree","Very often","Often","Not applicable","I do easily","I do easily","Not applicable","Not applicable","I do easily","Not applicable","Not applicable","Disagree","Agree","Somewhat agree","Somewhat disagree","Neutral","Neutral","Disagree","Disagree","Agree","Agree","Agree","Agree","",""
